Gene Symbol,-2_diff,-1_diff,0_diff,1_diff,2_diff
AK7,-0.03,5.79,-9.23,3.49,-0.03
AK8,0.17,4.11,-11.84,7.61,-0.05
AKAP1,0.0,3.99,-9.87,5.77,0.13
AKAP10,0.17,8.55,-14.14,5.43,-0.03
AKAP11,-0.44,12.61,-12.57,0.78,-0.39
AKAP12,-0.42,12.12,-14.32,2.61,0.0
AKAP13,0.17,8.72,-11.33,2.46,-0.03
AKAP2,0.0,1.58,-10.53,8.81,0.14
AKAP3,0.0,4.51,-4.06,1.68,-2.13
AKAP5,-0.03,6.09,-9.29,3.22,0.0
AKAP6,0.0,17.08,-19.37,3.07,-0.78
AKAP7,0.0,13.14,-16.28,3.14,0.0
AKAP8,0.0,2.07,-19.89,18.28,-0.46
AKAP8L,0.0,2.07,-19.72,18.11,-0.46
AKAP9,0.17,0.27,-53.35,50.89,2.02
AKD1,0.0,11.21,-14.17,2.78,0.17
AKIP1,-2.02,3.37,1.44,-2.39,-0.39
AKIRIN1,0.0,-31.51,19.99,11.18,0.34
AKIRIN2,0.0,11.24,-13.84,2.61,0.0
